review_id,source,text,sentiment,emotion,clean_text,word_count,compound,pos_score,neg_score,neu_score,predicted_sentiment,predicted_emotion
1,Public-review-style practice data,Absolutely loved this product. The quality is excellent and it works perfectly.,positive,joy,absolutely loved this product the quality is excellent and it works perfectly,12,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,positive,joy
2,Public-review-style practice data,The delivery was quick and the product feels premium. Very happy with it.,positive,joy,the delivery was quick and the product feels premium very happy with it,13,0.15384615384615385,0.15384615384615385,0.0,0.8461538461538461,positive,joy
3,Public-review-style practice data,Amazing value for the price. I would happily buy it again.,positive,satisfaction,amazing value for the price i would happily buy it again,11,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,positive,joy
4,Public-review-style practice data,The performance is smooth and reliable. Great purchase overall.,positive,satisfaction,the performance is smooth and reliable great purchase overall,9,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666667,positive,neutral
5,Public-review-style practice data,Setup was simple and the instructions were clear. Very convenient.,positive,satisfaction,setup was simple and the instructions were clear very convenient,10,0.1,0.1,0.0,0.9,positive,neutral
6,Public-review-style practice data,Excellent build quality and a very useful design.,positive,satisfaction,excellent build quality and a very useful design,8,0.25,0.25,0.0,0.75,positive,neutral
7,Public-review-style practice data,This made my daily work much easier. I am impressed.,positive,gratitude,this made my daily work much easier i am impressed,10,0.0,0.0,-0.0,1.0,neutral,neutral
8,Public-review-style practice data,The support team solved my issue quickly. Really appreciate the help.,positive,gratitude,the support team solved my issue quickly really appreciate the help,11,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,positive,gratitude
9,Public-review-style practice data,I am thankful for how easy this was to use.,positive,gratitude,i am thankful for how easy this was to use,10,0.1,0.1,0.0,0.9,positive,gratitude
10,Public-review-style practice data,The sound is fantastic and the battery lasts all day.,positive,excitement,the sound is fantastic and the battery lasts all day,10,0.1,0.1,0.0,0.9,positive,joy
